ADM1_EN,ADM1_PCODE,Age,Sex,2015,2016,2017,2018,2019,2020
Cascades,BF47,25-29,male,19691.7455659867,23860.5235104404,24555.319834516,25250.1161585916,25944.9124826672,23165.7271863647
Cascades,BF47,30-34,male,15805.5600172026,19965.7328031649,20659.0949341586,21352.4570651523,22045.8191961461,19272.3706721712
Cascades,BF47,35-39,male,11828.0882306953,16107.2496104774,16820.4431737744,17533.6367370714,18246.8303003684,15394.0560471803
Cascades,BF47,95-99,male,0,0,0,0,0,0
Cascades,BF47,0,female,61213.9428389017,85009.7616901598,88975.7314987028,92941.7013072458,96907.6711157888,81043.7918816167
Cascades,BF47,5-9,female,41665.6470750513,58533.720650055,61345.066245889,64156.4118417229,66967.7574375569,55722.3750542211
Cascades,BF47,95-99,female,0,0,0,0,0,0
Cascades,BF47,100-104,female,0,0,0,0,0,0
Cascades,BF47,105-109,female,0,0,0,0,0,0
Cascades,BF47,110-114,female,0,0,0,0,0,0
Cascades,BF47,115-119,female,0,0,0,0,0,0
Cascades,BF47,120-124,female,0,0,0,0,0,0
Cascades,BF47,125-129,female,0,0,0,0,0,0
Cascades,BF47,10-14,female,40935.3571732664,41278.8353980163,41336.0817688079,41393.3281395996,41450.5745103912,41221.5890272246
Cascades,BF47,15-19,female,32902.1682536321,41875.3362225301,43370.8642173464,44866.3922121627,46361.9202069791,40379.8082277138
Cascades,BF47,20-24,female,29185.5142891909,32967.0018583788,33597.2497865768,34227.4977147748,34857.7456429728,32336.7539301808
Cascades,BF47,25-29,female,21126.24358735,30105.866074647,31602.4698225298,33099.0735704127,34595.6773182955,28609.2623267642
Cascades,BF47,30-34,female,17735.6119004913,21254.0763447473,21840.4870854567,22426.897826166,23013.3085668754,20667.665604038
Cascades,BF47,35-39,female,13888.5490250171,17987.7061870655,18670.8990474069,19354.0919077483,20037.2847680897,17304.5133267241
Cascades,BF47,40-44,female,11658.5566463524,13856.0010038155,14222.2417300594,14588.4824563032,14954.7231825471,13489.7602775717
Cascades,BF47,1-4,female,56427.9358039897,60207.9732461975,60837.9794865654,61467.9857269334,62097.9919673014,59577.9670058295
Cascades,BF47,45-49,female,9141.66466341502,11647.6927585322,12065.3641077184,12483.0354569046,12900.7068060908,11230.021409346
Cascades,BF47,50-54,female,6755.18159151067,9054.69771660949,9437.95040412596,9821.20309164242,10204.4557791589,8671.44502909302
Cascades,BF47,55-59,female,5555.41961000684,6364.91631268972,6499.83242980353,6634.74854691734,6769.66466403116,6230.0001955759
Cascades,BF47,60-64,female,2999.40495375956,5239.53221027699,5612.88675302989,5986.2412957828,6359.59583853571,4866.17766752408
Cascades,BF47,65-69,female,2451.68752742086,2382.14410315292,2370.5535324416,2358.96296173027,2347.37239101895,2393.73467386424
Cascades,BF47,70-74,female,1056.3121793675,1783.01390779966,1904.13086253836,2025.24781727705,2146.36477201575,1661.89695306097
Cascades,BF47,75-79,female,782.453466198147,499.720053458897,452.597818002356,405.475582545814,358.353347089272,546.842288915439
Cascades,BF47,80-84,female,0,324.122965214988,378.143459417486,432.163953619985,486.184447822483,270.10247101249
Cascades,BF47,85-89,female,0,0,0,0,0,0
Cascades,BF47,40-44,male,9793.70921858014,11749.8501638189,12075.873654692,12401.8971455651,12727.9206364383,11423.8266729458
Cascades,BF47,1-4,male,60118.5079862243,60813.5847826801,60929.4309154228,61045.2770481654,61161.1231809081,60697.7386499375
Cascades,BF47,45-49,male,8750.43793031594,9449.72592603908,9566.27392532627,9682.82192461346,9799.36992390065,9333.17792675189
Cascades,BF47,50-54,male,6820.38604702718,8434.61666786564,8703.65510467206,8972.69354147847,9241.73197828488,8165.57823105923
Cascades,BF47,55-59,male,5398.92891676721,6308.80678434709,6460.4530956104,6612.09940687371,6763.74571813702,6157.16047308377
Cascades,BF47,60-64,male,4133.96247974688,4711.37539323945,4807.61087882155,4903.84636440364,5000.08184998574,4615.13990765736
Cascades,BF47,65-69,male,2673.382676177,3321.92629658134,3430.01689998207,3538.10750338279,3646.19810678351,3213.83569318062
Cascades,BF47,70-74,male,1395.37534805336,1831.89499325132,1904.64826745098,1977.40154165064,2050.1548158503,1759.14171905166
Cascades,BF47,75-79,male,586.84009964861,716.689995639078,738.331644970823,759.973294302568,781.614943634312,695.048346307334
Cascades,BF47,80-84,male,0,228.600287473299,266.700335385515,304.800383297732,342.900431209948,190.500239561082
Cascades,BF47,85-89,male,0,0,0,0,0,0
Cascades,BF47,90-94,male,0,0,0,0,0,0
Cascades,BF47,90-94,female,0,0,0,0,0,0
Centre-Est,BF48,0,male,137190.174406742,149316.184943431,151337.186699546,153358.188455661,155379.190211775,147295.183187316
