ADM1_EN,ADM1_PCODE,Sex,Age,pop_2015,pop_2020
Western,ZMB80,female,20-24,54006.9516198921,61265.6353559919
Central,ZMB10,male,20-24,67453.6148271916,94719.4251465144
Copperbelt,ZMB20,male,20-24,109732.369340932,148054.271859608
Luapula,ZMB40,male,20-24,44774.5743482034,65554.7754265628
Lusaka,ZMB50,male,20-24,126479.787230948,141099.042030763
North Western,ZMB60,male,20-24,35170.9588836757,49509.0960024083
Southern,ZMB70,male,20-24,84793.8007988273,114993.226434925
Western,ZMB80,male,20-24,43129.443291812,59770.1667717369
Central,ZMB10,female,25-29,62688.5988565626,74502.3654999556
Copperbelt,ZMB20,female,25-29,109049.313203285,120946.607155855
Luapula,ZMB40,female,25-29,49943.2323686568,54235.7431581553
Lusaka,ZMB50,female,25-29,135188.73322061,149689.92326183
North Western,ZMB60,female,25-29,36344.1388881347,40062.4827500023
Southern,ZMB70,female,25-29,80154.2551827648,93661.2690338335
Western,ZMB80,female,25-29,45990.0069943432,53183.9240956548
Central,ZMB10,male,25-29,56375.8667011,66066.2738593169
Copperbelt,ZMB20,male,25-29,99965.8649166819,107475.436725008
Luapula,ZMB40,male,25-29,39986.5063482584,43853.6713083452
Lusaka,ZMB50,male,25-29,125102.832256907,123878.363840051
North Western,ZMB60,male,25-29,31003.7257428371,34447.5801266944
Southern,ZMB70,male,25-29,70325.7440750533,83049.8204487409
Western,ZMB80,male,25-29,38402.7607790458,42242.3769798718
Central,ZMB10,female,30-34,48966.3278004799,61321.4821959041
Copperbelt,ZMB20,female,30-34,79546.0814333414,106671.179042893
Luapula,ZMB40,female,30-34,35394.8719072855,48854.0800537614
Lusaka,ZMB50,female,30-34,102388.959608193,132240.540568105
North Western,ZMB60,female,30-34,26702.0657264876,35551.5496601272
Southern,ZMB70,female,30-34,61351.8861071429,78406.2508533334
Western,ZMB80,female,30-34,35542.1970765146,44987.0555410164
Central,ZMB10,male,30-34,47674.5331895165,54763.3663609282
Copperbelt,ZMB20,male,30-34,86316.7256047542,97106.5679965245
Luapula,ZMB40,male,30-34,35849.1245124085,38842.7783700002
Lusaka,ZMB50,male,30-34,109497.342551106,121524.544217805
North Western,ZMB60,male,30-34,26506.5357257445,30116.9353835701
Southern,ZMB70,male,30-34,59471.6491995807,68314.2399874861
Western,ZMB80,male,30-34,30434.92454324,37304.3463996239
Central,ZMB10,female,35-39,38083.567540194,47565.147695669
Copperbelt,ZMB20,female,35-39,61487.0358292369,77269.8574365828
Luapula,ZMB40,female,35-39,30422.6474458042,34382.0326400227
Lusaka,ZMB50,female,35-39,73743.5886097627,99459.0993111919
North Western,ZMB60,female,35-39,21007.2544548431,25937.9806809895
Southern,ZMB70,female,35-39,47286.7372921322,59596.2923687499
Western,ZMB80,female,35-39,26899.1204817421,34525.1530924689
Central,ZMB10,male,35-39,41776.1502488912,45839.8626715106
Copperbelt,ZMB20,male,35-39,71037.8383152829,82994.9922405224
Luapula,ZMB40,male,35-39,30336.7077637539,34469.5373006889
Lusaka,ZMB50,male,35-39,91926.4555746659,105283.542189692
North Western,ZMB60,male,35-39,21276.108205865,25486.4842503411
Southern,ZMB70,male,35-39,48605.3449935395,57182.9980569809
Western,ZMB80,male,35-39,25634.5794458592,29263.6931622257
Central,ZMB10,female,40-44,26737.7110986194,36780.9900859352
Copperbelt,ZMB20,female,40-44,43092.4538768147,59383.9865832756
Luapula,ZMB40,female,40-44,21890.0647279535,29382.0959159975
Lusaka,ZMB50,female,40-44,43591.8053320398,71221.3507912938
North Western,ZMB60,female,40-44,14664.7500557369,20288.7407143498
Southern,ZMB70,female,40-44,32830.8898989268,45669.3836567049
Western,ZMB80,female,40-44,20183.5481843834,25979.0823558777
Central,ZMB10,male,40-44,30491.2275153809,39751.6966661339
